depart;arrivee;duree
Gare de Chambéry-Chal.-les-Eaux;Lyon-Part-Dieu-Gare-Rou;90
Gare de Annecy;Lyon-Part-Dieu-Gare-Rou;112
Gare de Aix-les-Bains-le-Revard;Gare de Annecy;35
Gare de Valence-TGV;Grenoble-Gare-Routière;60
Gare de Chambéry-Chal.-les-Eaux;Grenoble-Gare-Routière;70
Grenoble-Gare-Routière;Valence-Gare-Routière;100
Grenoble-Gare-Routière;Lyon-Part-Dieu-Gare-Rou;119
Gare de St-André-le-Gaz;Lyon-Perrache-Gare-Rout;110
Lyon-Part-Dieu-Gare-Rou;Saint-Etienne-Chtx GR;71
Gare de Lozanne;Gare de Lyon-Gorge-de-Loup;37
Gare de Lozanne;Lyon-St-Paul-Quai-Bondy;48
Lyon-Part-Dieu-Gare-Rou;Roanne-Gare-Routière;115
Gare de Lozanne;Grandris-Centre;42
Gare de Lamure-sur-Azergues;Gare de Lozanne;46
Gare de Lozanne;Poule-Mairie;60
Gare de Lozanne;Gare de Paray-le-Monial;120
Bois-d'Oingt-Centre;Gare de Lozanne;23
Gare de Die;Valence-Gare-Routière;75
Gare de Valence-TGV;Gare de Veynes-Dévoluy;185
Gare de Veynes-Dévoluy;Valence-Gare-Routière;165
Gare de Luc-en-Diois;Valence-Gare-Routière;105
Gare de Luc-en-Diois;Gare de Valence-TGV;125
Gare de Evian-les-Bains;Grenoble-Gare-Routière;210
Saint-Etienne-Chtx GR;Valence-Gare-Routière;110
Gare de Modane;Grenoble-Gare-Routière;130
Gare de Annecy;Gare de Chamonix-Mont-Blanc;120
Annonay-Gare-Route;Grenoble-Gare-Routière;170
Gare de St-Gervais-L-B-Le-Fayet;Grenoble-Gare-Routière;190
Privas-Cours-du-Palais;Valence-Gare-Routière;50
Gare de Annemasse;Grenoble-Gare-Routière;180
Grenoble-Gare-Routière;Montélimar-G-Routière;127
Gare de Moûtiers-Salins-Brides;Grenoble-Gare-Routière;105
Gare de Chambéry-Chal.-les-Eaux;Gare de Cluses (Hte-Savoie);130
Gare de Bonneville;Lyon-Part-Dieu-Gare-Rou;145
Gare de Chambéry-Chal.-les-Eaux;Gare de St-Gervais-L-B-Le-Fayet;165
Aubenas-Pl.-de-la-Paix;Grenoble-Gare-Routière;198
Gare de Annemasse;Gare de Chambéry-Chal.-les-Eaux;110
Gare de Chambéry-Chal.-les-Eaux;Gare de Chamonix-Mont-Blanc;200
Gare de Annemasse;Gare de Evian-les-Bains;60
Grenoble-Gare-Routière;Privas-Cours-du-Palais;130
Bourg-en-Bresse Gare R;Gare de Chambéry-Chal.-les-Eaux;170
Gare de Oyonnax;Lyon-Part-Dieu-Gare-Rou;90
Gare de Chambéry-Chal.-les-Eaux;Gare de Evian-les-Bains;180
